qid;first_year;last_year;instance_of;image;country;city;latitude;longitude;architects
Q756807;1710;1710;['Q33506', 'Q16560'];http://commons.wikimedia.org/wiki/Special:FilePath/Ca%27Pesaro%20di%20Baldassarre%20Longhena%20facciata%20sul%20Canal%20Grande.jpg;['Q38'];['Q641'];45.441;12.33146;['Q316297', 'Q3619635']
Q922371;1576;1576;['Q2651004'];http://commons.wikimedia.org/wiki/Special:FilePath/0%20Venise%2C%20Palazzo%20Grimani%20di%20San%20Luca.JPG;['Q38'];['Q641'];45.43595833;12.33280556;['Q459937']
Q748689;1672;1672;['Q16970'];http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20di%20Nazareth%20Church.jpg;['Q38'];['Q641'];45.44128;12.32221;['Q316297', 'Q327026']
Q3670210;;;['Q19860854', 'Q16970'];http://commons.wikimedia.org/wiki/Special:FilePath/Dionisio%20Moretti%20-%20San%20Geminiano.jpg;['Q38'];['Q641'];45.433645;12.337151;['Q202267']
Q189883;1340;1340;['Q124830213', 'Q570116', 'Q207694', 'Q16560'];http://commons.wikimedia.org/wiki/Special:FilePath/%28Venice%29%20Doge%27s%20Palace%20facing%20the%20sea.jpg;['Q38'];['Q641'];45.433666666;12.340416666;['Q604631', 'Q3876542']
Q172988;828;828;['Q570116', 'Q120560', 'Q2977'];http://commons.wikimedia.org/wiki/Special:FilePath/Venice%20-%20St.%20Marc%27s%20Basilica%2001.jpg;['Q38'];['Q3867184'];45.434444444;12.339722222;['Q522675']
Q169575;1548;1548;['Q464780'];http://commons.wikimedia.org/wiki/Special:FilePath/La%20Zecca%20Venice.jpg;['Q38'];['Q52427'];45.433333333;12.339166666;['Q202267']
Q578460;1468;1468;['Q105763925', 'Q11834910'];http://commons.wikimedia.org/wiki/Special:FilePath/Libreria%20Marciana%20Venezia%20sera.jpg;['Q38'];['Q641'];45.433333333;12.339166666;['Q202267']
Q162796;1600;1600;['Q1497364'];http://commons.wikimedia.org/wiki/Special:FilePath/0%20Venise%2C%20place%20Saint-Marc%20%281%29.JPG;['Q38'];['Q52427'];45.434166666;12.337777777;[]
Q125166113;;;['Q12511'];http://commons.wikimedia.org/wiki/Special:FilePath/Palazzo%20ducale%2C%20scala%20dei%20giganti%2002.jpg;['Q38'];['Q641'];;;[]
Q966625;;;['Q124830213', 'Q112132573', 'Q112132534', 'Q112132522', 'Q24699794', 'Q853854'];http://commons.wikimedia.org/wiki/Special:FilePath/St%20Mark%27s%20Clocktower%202.jpg;['Q38'];['Q641'];45.43404;12.33821;['Q734053']
Q754194;1000;1000;['Q200334'];http://commons.wikimedia.org/wiki/Special:FilePath/Campanile%20of%20St.%20Mark%27s%20Basilica%20-%20remote%20view.jpg;['Q38'];['Q641'];45.434027777;12.339027777;['Q937875']
Q3669580;1661;1661;['Q19899465'];http://commons.wikimedia.org/wiki/Special:FilePath/Chiesa%20di%20San%20Basso%20Piazza%20San%20Marco.jpg;['Q38'];['Q641'];45.434997;12.339327;['Q316297']
Q3320338;982;982;['Q9134984'];http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20depuis%20Chiesa%20di%20San%20Giorgio%20Maggiore%204.jpg;['Q223936'];['Q641'];45.428719444;12.342969444;['Q177692', 'Q316297', 'Q3615554']
Q126841091;;;['Q35112127'];;['Q38'];['Q641'];;;[]
Q155225;1217;1401;['Q317557', 'Q120560', 'Q16970'];http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20dei%20Santi%20Giovanni%20e%20Paolo.jpg;['Q38'];['Q641'];45.439216666;12.342397222;[]
Q1273362;1437;1437;['Q992237', 'Q44613'];http://commons.wikimedia.org/wiki/Special:FilePath/Scuola%20Grande%20di%20San%20Marco%20Ospedale%20di%20Venezia%20facciata.jpg;['Q38'];['Q3867184'];45.439707;12.341477;['Q369279', 'Q734053', 'Q3766906']
Q2929873;;;['Q16970'];http://commons.wikimedia.org/wiki/Special:FilePath/Carit%C3%A0%20%28Venice%29.jpg;['Q38'];['Q641'];45.4313;12.3285;['Q739267']
Q52505;1588;1588;['Q132775089', 'Q3397551', 'Q3397526', 'Q1825472', 'Q1068842', 'Q570116', 'Q158438'];http://commons.wikimedia.org/wiki/Special:FilePath/Rialto%202025%204.jpg;['Q38'];['Q641'];45.438008;12.335639;['Q605926']
Q1262248;;;['Q1745026'];http://commons.wikimedia.org/wiki/Special:FilePath/Arsenal%20-%20Venice%2C%20Italy%20-%20panoramio.jpg;['Q38'];['Q641'];45.435277777;12.353055555;['Q2832822']
