xml:id,Titre de l'oeuvre,Wikidata,Artiste (xml:id),Auteur modèle,Type d'oeuvre,Ref bibliographie,Page bibliographie,Note,Niveau de certitude,Institution de conservation,Lieu de conservation d'après le texte,N° d'inventaire,Lien image,Technique,Datation,Datation début,Datation fin,Lien vers d'autres répertoires,Colonne 1,Colonne 2,Colonne 3,Colonne 4,Colonne 5,Colonne 6,Colonne 7,Colonne 8,Colonne 9,Colonne 10,Colonne 11
RaphaelPanasse,Parnasse,https://www.wikidata.org/wiki/Q2715152,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 74,,,,,,,,,,,,,,,,,,,,,,
RaphaelDisputeSacrement,La Dispute du saint Sacrement,https://www.wikidata.org/wiki/Q549953,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 71,,,,,,,,,,,,,,,,,,,,,,
RaphaelVertusVatican,Les Vertus cardinales et théologales,https://www.wikidata.org/wiki/Q2568776,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 76,,,,,,,,,,,,,,,,,,,,,,
RaphaelJulesII,Portrait du pape Jules II,https://www.wikidata.org/wiki/Q686848,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 71,dussler p. 29,,,,,,,,,,,,,,,,,,,,,
BasiliqueSantaMariaDelPopolo,Basilique Santa Maria del Popolo,https://www.wikidata.org/wiki/Q869513,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelViergeLorette,La Vierge de Lorette,https://www.wikidata.org/wiki/Q2427320,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 51,,,,,,,,,,,,,,,,,,,,,,
ChapelleSixtine,Chapelle Sixtine,https://www.wikidata.org/wiki/Q2943,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelIsaie,Le Prophète Isaïe,https://www.wikidata.org/wiki/Q3226022,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 69,,,,,,,,,,,,,,,,,,,,,,
BasiliqueSaintAugustinRome,Basilique Saint Augustin,https://www.wikidata.org/wiki/Q1424095,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelGalatee,Le triomphe de Galatée,https://www.wikidata.org/wiki/Q2344368,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 99,,,,,,,,,,,,,,,,,,,,,,
RaphaelSibyllesProphetesChigi,"Les Sibylles et les Prophètes (Raphaël)",https://www.wikidata.org/wiki/Q1639900,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 93,,,,,,,,,,,,,,,,,,,,,,
SainteMariePaixRome,Sainte Marie de la Paix,https://www.wikidata.org/wiki/Q1514683,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelViergeFoligno,Vierge de Foligno,https://www.wikidata.org/wiki/Q2610709,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 52,,,,,,,,,,,,,,,,,,,,,,
StanzeVatican,Chambres de Raphaël au Vatican,https://www.wikidata.org/wiki/Q249449,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelMesseBolsena,Messe de Bolsena,https://www.wikidata.org/wiki/Q249449,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 80,,,,,,,,,,,,,,,,,,,,,,
RaphaelDelivrancePierre,La Délivrance de saint Pierre,https://www.wikidata.org/wiki/Q2719737,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 81,,,,,,,,,,,,,,,,,,,,,,
RaphaelHeliodore,Heliodore chassé du temple,https://www.wikidata.org/wiki/Q2294201,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 79,,,,,,,,,,,,,,,,,,,,,,
RaphaelChambreHeliodore,Chambre d'Heliodore,https://www.wikidata.org/wiki/Q774018,Raphael,,Peinture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelLeonAttila,La Rencontre entre Léon Ier le Grand et Attila,https://www.wikidata.org/wiki/Q2716974,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 81,,,,,,,,,,,,,,,,,,,,,,
RaphaelMadonnaPesce,La Vierge au poisson,https://www.wikidata.org/wiki/Q2631335,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 54,,,,,,,,,,,,,,,,,,,,,,
SanDomenicoMaggioreNaples,Église San Domenico Maggiore,https://www.wikidata.org/wiki/Q897603,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelMadoneAmourDivin,"La Madone de l'Amour divin",https://www.wikidata.org/wiki/Q3842605,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° A8,,,,,,,,,,,,,,,,,,,,,,
