xml:id,Titre de l'oeuvre,Wikidata,Artiste (xml:id),Auteur modèle,Type d'oeuvre,Ref bibliographie,Page bibliographie,Note,Niveau de certitude,Institution de conservation,Lieu de conservation d'après le texte,N° d'inventaire,Lien image,Technique,Datation,Datation début,Datation fin,Lien vers d'autres répertoires,Colonne 1,Colonne 2,Colonne 3,Colonne 4,Colonne 5,Colonne 6,Colonne 7,Colonne 8,Colonne 9,Colonne 10,Colonne 11
DenteMassacreInnocents,Massacre des Innocents,,,,Estampe,I.B. 26,n° 21 (24),,,,,,,,,,,,,,,,,,,,,,
VenezianoChristTroisAnges,Christ mort soutenu par trois anges,,,,Estampe,I.B. 26,n° 40 (45),,,,,,,,,,,,,,,,,,,,,,
DaCarpiSybilleFlambeau,,,,,Estampe,I.B. 48,n° 6 (89),,,,,,,,,,,,,,,,,,,,,,
DaCarpiDescenteCroix,,,,,Estampe,I.B. 48,n° 22 (43),,,,,,,,,,,,,,,,,,,,,,
DaCarpiDavidGoliath,,,,,Estampe,I.B. 48,n° 8 (26),,,,,,,,,,,,,,,,,,,,,,
DaCarpiMortAnanias,La Mort d'Ananias,,,,Estampe,I.B. 48,n° 27 (46),,,,,,,,,,,,,,,,,,,,,,
VenezianoAnanias,,,,,Estampe,I.B. 26,n° 42 (47),,,,,,,,,,,,,,,,,,,,,,
DaCarpiEneeAnchise,Enée et Anchise,,,,Estampe,I.B. 48,n° 12 (104),,,,,,,,,,,,,,,,,,,,,,
DaCarpiVeroniquePaulPierre,,,UgoDaCarpi,,Peinture,,,,,,,,,,,,,,,,,,,,,,,,
DaCarpiDiogene,,,,,Estampe,I.B. 48,n° 10 (100),,,,,,,,,,,,,,,,,,,,,,
DaTrentoMartyrePierrePaul,,,,,Estampe,I.B. 48,n° 28 (79),,,,,,,,,,,,,,,,,,,,,,
DaTrentoSibylle,,,,,Estampe,I.B. 48,n° 7 (90),,,,,,,,,,,,,,,,,,,,,,
DapParmesanViergeOvale,,,,,Estampe,I.B. 48,n° 12 (56),,,,,,,,,,,,,,,,,,,,,,
ParmesanEauforteNativité,,,,,Estampe,I.B. 32,n° 3 (7),,,,,,,,,,,,,,,,,,,,,,
ParmesanEauforteTombeau,,,,,Estampe,I.B. 32,n° 5 (8),,,,,,,,,,,,,,,,,,,,,,
ParmesanPierreJeanMalades,Saint Pierre et saint Jean guérissent les malades à la porte du temple,,,,Estampe,I.B. 32,n° 7 (9),,,,,,,,,,,,,,,,,,,,,,
CaraglioDieux,Série des vingt dieux dans des niches,,,,Estampe,I.B. 28,n° 24 (77) - 43-20 (84),,,,,,,,,,,,,,,,,,,,,,
CaraglioPlutonProserpine,Pluton et Proserpine,,,,Estampe,I.B. 28,n° 22 (76),A voir si on le considère comme une série avec des images,,,,,,,,,,,,,,,,,,,,,
CaraglioSaturnePhilyra,Saturne et Phylira,,,,Estampe,I.B. 28,n° 23 (76),A voir si on le considère comme une série avec des images,,,,,,,,,,,,,,,,,,,,,
CaraglioRaptSabines,Le rapt des sabines,,,,Estampe,I.B. 28,n° 63 (96),,,,,,,,,,,,,,,,,,,,,,
CaraglioMariageVierge,Mariage de la Vierge,,,,Estampe,I.B. 28,n° 1 (66),,,,,,,,,,,,,,,,,,,,,,
CaraglioAnnonciation,Annonciation,,,Titien,Estampe,I.B. 28,,,,,,,,,,,,,,,,,,,,,,,
CaraglioAdorationBergers,,,,,Estampe,I.B. 28,,,,,,,,,,,,,,,,,,,,,,,
CaraglioViergeJBRaphael,,,,Raphael,Estampe,I.B. 28,,,,,,,,,,,,,,,,,,,,,,,
GBScultoriViergeCroissant,,,,,Estampe,I.B. 31,n° 4 (378),,,,,,,,,,,,,,,,,,,,,,
GBScultoriTetesSoldats,,,,,Estampe,I.B. 31,n° 18 (383),,,,,,,,,,,,,,,,,,,,,,
GBScultoriCavalier,,,,,Estampe,I.B. 31,n° 15 (382),,,,,,,,,,,,,,,,,,,,,,
GBScultoriGuerrierEtendard,,,,,Estampe,I.B. 31,n° 16 (382),,,,,,,,,,,,,,,,,,,,,,
GBScultoriMarsVenus,,,,,Estampe,I.B. 31,n° 13 (381),,,,,,,,,,,,,,,,,,,,,,
GBScultoriTroi,,,,,Estampe,I.B. 31,n° 20 (383),,,,,,https://www.metmuseum.org/art/collection/search/361905,,,,,,,,,,,,,,,,
VicoFillesPierus,,,,,Estampe,I.B. 31,n° 29 (296),,,,,,https://www.worthpoint.com/worthopedia/enea-vico-rosso-fiorentino-1540-vicos-1927229363,,,,,,,,,,,,,,,,
VicoCentauresLapites,,,,,Estampe,I.B. 30,n° 30 (296),,,,,,https://www.britishmuseum.org/collection/object/P_W-3-131,,,,,,,,,,,,,,,,
VicoVulcainFleches,Vulcain et les Cyclopes forgent les flèches pour les Amours,,,,Estampe,I.B. 30,n° 31 (297),,,,,,,,,,,,,,,,,,,,,,
CorregeCoupoleAssomption,Assomption (Coupole),https://www.wikidata.org/wiki/Q771210,Correge,,Peinture,,,,,,,,,,,,,,,,,,,,,,,,
Laocoon,Laocoon,https://www.wikidata.org/wiki/Q22878,,,Sculpture,,,,,,,,,,,,,,,,,,,,,,,,
PalaisFarneseRome,Palais Farnese,https://www.wikidata.org/wiki/Q848386,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
CarracheGalerieFarnese,Galerie Farnese,https://www.wikidata.org/wiki/Q7749083,AnnibaleCarracci,,Peinture,,,,,,,,,,,,,,,,,,,,,,,,
CarracheCrisBologne,Cris de Bologne,,Guillain,,Estampe,IFF V,"p. 150, n°4-83",,,,,,,,,,,,,,,,,,,,,,
GuillainFrontispiceCarrache,Frontispice et potrait d'Annibale Carrache,,,,Estampe,IFF V,"p. 150, n°3",,,,,,,,,,,,,,,,,,,,,,
VerrocchioLeonardoBapteme,Baptême du Christ,https://www.wikidata.org/wiki/Q1059211,Verrocchio,,Peinture,maraniLeonardVinciCarriere1999,n° 10,,,,,,,,,,,,,,,,,,,,,,
LeonardMeduse,Tête de Méduse,https://www.wikidata.org/wiki/Q3492887,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,perdues n°3,"Fiche à rédiger, cas complexe",,,,,,,,,,,,,,,,,,,,,
LeonardMadoneOeillet,Madonne à l'oeillet,https://www.wikidata.org/wiki/Q698015,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 6,,,,,,,,,,,,,,,,,,,,,,
LeonardAdamEve,Adam et Eve,,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,perdues n°2,Carton perdu de Léonard de Vinci.,,,,,,,,,,,,,,,,,,,,,
LeonardDessinNeptune,,,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,perdues n°9,"Dessin pour Antonio Segni qui a disparu, autre version à Windsor",,,,,,,,,,,,,,,,,,,,,
TuileriesParis,Palais des Tuileries,https://www.wikidata.org/wiki/Q234364,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Salle500Florence,"Salle des Cinq-Cents, Palazzo Vecchio",https://www.wikidata.org/wiki/Q234364,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
LeonardAdorationMages,Adoration des Mages,https://www.wikidata.org/wiki/Q1638622,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 12,,,,,,,,,,,,,,,,,,,,,,
SantaMariaGrazieMilan,Église Santa Maria delle Grazie (Milan),https://www.wikidata.org/wiki/Q1638622,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
LeonardCene,La Cène,https://www.wikidata.org/wiki/Q128910,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 18,,,,,,,,,,,,,,,,,,,,,,
LeonardSainteAnne,"Sainte Anne, la Vierge et l'Enfant Jésus jouant avec un agneau",https://www.wikidata.org/wiki/Q563727,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 30,,,,,,,,,,,,,,,,,,,,,,
LeonardJoconde,,,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 27,,,,,,,,,,,,,,,,,,,,,,
LeonardGinevraBenci,,,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 7,,,,,,,,,,,,,,,,,,,,,,
LeonardViergeRochers,,https://www.wikidata.org/wiki/Q269342,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 26,VERIFIER,,,,,,,,,,,,,,,,,,,,,
SanFrancescoGrandeMilan,,https://www.wikidata.org/wiki/Q18223420,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
BibliothequeAmbrosienneMilan,Bibliothèque Ambrosienne,https://www.wikidata.org/wiki/Q815611,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
CopieLeonardCeneParis,,,,,Peinture,,,https://agorha.inha.fr/ark:/54721/de2c4ece-6102-4ce5-b74e-15be9bfa6522,,,,,,,,,,,,,,,,,,,,,
LeonardLionMecanique,,,LeonardoDaVinci,,Peinture,,,,,,,,,,,,,,,,,,,,,,,,
LeonardCartonBurlington,"La Vierge, l'Enfant Jésus avec sainte Anne et saint Jean-Baptiste",https://www.wikidata.org/wiki/Q2471531,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 25,,,,,,,,,,,,,,,,,,,,,,
LeonardIsabelleEste,Portrait d'Isabelle d'Este,https://www.wikidata.org/wiki/Q591128,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 22,,,,,,,,,,,,,,,,,,,,,,
MelziFlora,Flora,https://www.wikidata.org/wiki/Q21716903,FrancescoMelzi,,Peinture,,,Pas sûr dans la vie de Léonard de Du Fresne,BAS,,,,,,,,,,,,,,,,,,,,
ViergeAuxBalancesLouvre,Vierge aux Balances,https://www.wikidata.org/wiki/Q18565884,,,Peinture,,,,,,,,https://collections.louvre.fr/ark:/53355/cl010066558,,,,,,,,,,,,,,,,
LeonardAssomptionMilan,"Assomption avec saint Dominique et saint Pierre de Vérone, Ludovic le More et Béatrice d'Este",,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,perdues n° 6,Fresque perdue présente à l'église Santa Maria delle Grazie à Milan.,,,,,,,,,,,,,,,,,,,,,
LeonardManuscritMotoMisuraAcqua,Del moto e misura dell'acqua,,LeonardoDaVinci,,Manuscrit,,,,,Bibliotheque Vaticane,Vatican,Barb.lat.4332,https://digi.vatlib.it/mss/detail/Barb.lat.4332,,,,,,,,,,,,,,,,
DonatelloSaintGeorges,Saint Georges,https://www.wikidata.org/wiki/Q3947208,Donatello,,Sculpture,,,,,,,,,,,,,,,,,,,,,,,,
