xml_id,wikidata_qid
Valsolda,Q47338
Varallo,Q25216
Venise,Q641
Vercelli,Q5990
Vicence,Q6537
Vinci,Q82884
Volterra,Q103305
Verone,Q2028
Gallarate,Q40854
Vanzaghello,Q42825
Tyr,Q82070
Tripoli,Q3579
Mexique,Q30751596
Alkmaar,Q972
Arnhem,Q1310
BoisLeDuc,Q2766547
Breda,Q40844
Delft,Q690
Deventer,Q10001
Dordrecht,Q26421
Flessingue,Q10084
Gorinchem,Q244327
Gouda,Q84125
Gueldre,Q775
Haarlem,Q9920
Heemskerk,Q9926
Leyde,Q43631
Schoorl,Q1002717
Steenwijk,Q81175
Utrecht,Q803
Venloo,Q9777
Windsor,Q464955
Westphalie,Q708742
NeubourgDuche,Q675127
Basel,Q78
Lugano,Q7024
Schaffhouse,Q9009
ValleDiBlenio,Q353001
Damas,Q3766
Birsa,Q1018648
Tunis,Q3572
Alabanda,Q778224
Ancyre,Q107585355
Antioche,Q200441
Byzance,Q23725
Cappadoce,Q217265
Carie,Q193214
Cnide,Q690575
Pessinonte,Q728353
Troie,Q22647
Ephese,Q47611
Nancy,Q40898
Pavie,Q6259
Mantoue,Q6247
Candie,Q2288441
Memphis,Q5715
ThebesEgypte,Q101583
Thebaide,Q768515
Libye,Q1016
Mauritanie,Q1025
Nil,Q3392
Carthage,Q6343
Alexandrie,Q87
Egypte,Q79
Indes,Q664609
Terranova,Q48335
Perou,Q419
Assyrie,Q41137
Chine,Q29520
Perse,Q83311
Armenie,Q399
Babylone,Q5684
Chypre,Q229
Israel,Q801
SriLanka,Q854
Syrie,Q858
Lydie,Q620765
Jerusalem,Q1218
Rhodes,Q43048
Colchide,Q183150
Belgique,Q6581823
Baviere,Q47261
Alpes,Q1286
Munich,Q1726
Athenes,Q844930
Vienne,Q1741
Bruxelles,Q239
Constantinople,Q16869
PaysBas,Q622783
EmpireOrient,Q12544
Londres,Q84
Cadix,Q15682
Madrid,Q2807
Valence,Q8818
Espagne,Q766543
Albigeois,Q2831878
France,Q142
